# Coalition,,
coalition_call;Assemble a Coalition;;;;;;;;;;;;;x,,
coalition_call_desc;Summon a grand coalition against a potential threat to the empire.;;;;;;;;;;;;;x,,
coalition_end;Abandon the Coalition;;;;;;;;;;;;;x,,
coalition_end_desc;The war is going against us. You may decide to abandon the coalition if you wish.;;;;;;;;;;;;;x,,
coalition_win;Retreat from the Coalition;;;;;;;;;;;;;x,,
coalition_win_desc;The allies are winning. Perhaps we should abandon disputed territory to satisfy the greed of the coalition.;;;;;;;;;;;;;x,,
# Conversion,,
convert_to_tao;Convert to Taoism;;;;;;;;;;;;;x,,
convert_to_tao_desc;Convert to the Taoist beliefs;;;;;;;;;;;;;x,,
convert_to_confucian;Convert to Confucianism;;;;;;;;;;;;;x,,
convert_to_confucian_desc;Convert to the Confucian beliefs;;;;;;;;;;;;;x,,
convert_to_han;Adopt Han Culture;;;;;;;;;;;;;x,,
convert_to_han_desc;Adopt Han culture and lifestyle;;;;;;;;;;;;;x,,
convert_to_spouse_tao;Convert to Taoism;;;;;;;;;;;;;x,,
convert_to_spouse_tao_desc;Convert to your spouse's Taoist beliefs;;;;;;;;;;;;;x,,
convert_to_spouse_confucian;Convert to Confucianism;;;;;;;;;;;;;x,,
convert_to_spouse_confucian_desc;Convert to your spouse's Confucian beliefs;;;;;;;;;;;;;x,,
# Weapons,,
find_w_h;Find Weapons and Horses;;;;;;;;;;;;;x,,
find_w_h_desc;Send men to find out where weapons and horses can be found.;;;;;;;;;;;;;x,,
# Challenge,,
battle_challenge;Duel the Enemy (Field);;;;;;;;;;;;;x,,
battle_challenge_desc;Challenge your opponent in the field to a duel.;;;;;;;;;;;;;x,,
siege_challenge;Duel your Enemy (Siege);;;;;;;;;;;;;x,,
siege_challenge_desc;Challenge your opponent to come out and face you in a duel.;;;;;;;;;;;;;x,,
# Noble,,
make_noble;Raise to Nobility;Annoblir;;;;;;;;;;;;x,,
make_noble_desc;Make [Root.GetTitledFirstName] a noble by giving [Root.GetHerHim] [Root.GetHerHis] own house and arms, as well incomes to start [Root.GetHerHis] own household.;Faire de [Root.GetTitledFirstName] un noble en lui donnant une maisons et un blason, ainsi que des revenus pour constituer sa maisonnée.;;;;;;;;;;;;x
# Adopt,,
adopt_character;Adopt;;;;;;;;;;;;;x,,
adopt_character_desc;If you find this person to be of noble character, perhaps they would make a useful addition to the clan? Adopting this person would make them a legitimate member of your dynasty.;;;;;;;;;;;;;x,
adopted;Adopted;Adopté;;;;;;;;;;;;x,,
adopted_desc;This character was adopted into their house.;;;;;;;;;;;;x,,
# Suicide,,
commit_suicide;Commit Suicide;;;;;;;;;;;;;x,,
commit_suicide_desc;Life has lost its meaning. Perhaps ending the pain would be easier?;;;;;;;;;;;;;x,,
# Restore,,
restore_emperor_in_luoyang;Restore the Emperor in Luoyang;;;;;;;;;;;;;x,,
restore_emperor_in_luoyang_desc;The Emperor has lost control of his palace, but it is within my power to restore the Palace City to him!;;;;;;;;;;;;;x,
# Protection,,
buy_bureaucratic_protection;Bribe the Imperial Censors;;;;;;;;;;;;;x,,
buy_bureaucratic_protection_desc;Although not always necessary, a little bit of gold in the right hands goes a long way to make sure those at court do not judge you unfairly.;;;;;;;;;;;;;x,
protection_paid;The Emperor will hear of our generous tribute.;;;;;;;;;;;;;x,,
bought_protection;Bought Protection;;;;;;;;;;;;;x,,
refused_protection;Refused Protection;;;;;;;;;;;;;x,,
# Punish,,
vassal_castrate_decision;Castrate [Root.GetTitledFirstName];Castrer [Root.GetTitledFirstName];[Root.GetTitledFirstName] kastrieren;;Castrado [Root.GetTitledFirstName];;;;;;;;;x,,
vassal_castrate_decision_desc;As he is your prisoner, you may choose to castrate him in order ensure his progeny does not one day taint the earth.;;;;;;;;;;;;;x,
vassal_blinding_decision;Blind [Root.GetTitledFirstName];Aveugler [Root.GetTitledFirstName];[Root.GetTitledFirstName] blenden;;Ciego [Root.GetTitledFirstName];;;;;;;;;x,,
vassal_blinding_decision_desc;As [Root.GetSheHe] is your prisoner, you may choose to blind them.;;;;;;;;;;;;;x,
#Send Eunuch,,
send_eunuch;Send Eunuch to Capital;;;;;;;;;;;;;x,,
send_eunuch_desc;Send [Root.GetBestName] to serve the Imperial Court.;;;;;;;;;;;;;x,,
send_eunuch_named;Send [Root.GetOnlyDynastyName] [Root.GetTitledFirstName] to the Imperial Court.;;;;;;;;;;;;;x,,
#Send Lady,,
send_lady;Send Lady to Capital;;;;;;;;;;;;;x,,
send_lady_desc;Send [Root.GetBestName] to serve the Empress's Court.;;;;;;;;;;;;;x,,
send_lady_named;Send [Root.GetOnlyDynastyName] [Root.GetTitledFirstName] to the Empress's Court.;;;;;;;;;;;;;x,,
#Restore China,,
restore_china;Restore China;;;;;;;;;;;;;x,,
restore_china_desc;The Empire long divided, must unite. This act will bring glory to the once broken empire. You will go down in history as a great restorer.;;;;;;;;;;;;;x,
#Force Abdication,,
force_abdication;Become Emperor;;;;;;;;;;;;;x,,
force_abdication_desc;Force the Emperor to abdicate. This action will formally make you Emperor of China. However, many loyalists and opportunists may align against you for this.;;;;;;;;;;;;;x,
#Luoyang,,
claim_luoyang;Claim Luoyang;;;;;;;;;;;;;x,,
claim_luoyang_desc;As the Chinese [Root.GetTitle], the Imperial Capital should be yours to rule.;;;;;;;;;;;;;x,
make_luoyang_capital;Declare Luoyang Capital;;;;;;;;;;;;;x,,
make_luoyang_capital_desc;The city of Luoyang has seen better days, but no one can deny its historical significance. If you so wish, you may restore it as the capital of the Empire.;;;;;;;;;;;;;x
luoyang_capital;Luoyang once more becomes the seat of imperial power.;;;;;;;;;;;;;x,,
make_changan_capital;Declare Changan Capital;;;;;;;;;;;;;x,,
make_changan_capital_desc;The city of Changan has seen better days, but no one can deny its historical significance. If you so wish, you may restore it as the capital of the Empire.;;;;;;;;;;;;;x
changan_capital;Changan once more becomes the seat of imperial power.;;;;;;;;;;;;;x,,
make_imperial_capital;Declare Imperial Capital;;;;;;;;;;;;;x,,
make_imperial_capital_desc;The Emperor currently resides outside your capital. Perhaps we should move our headquarters to join the Emperor.;;;;;;;;;;;;;x,,
imperial_capital;The Imperial capital becomes your base of power.;;;;;;;;;;;;;x,,
invite_emperor;Invite the Emperor;;;;;;;;;;;;;x,,
invite_emperor_desc;The Emperor has lost his seat of power. You have the reputation and strength necessary to aid the Empire in its time of need. Will you help?;;;;;;;;;;;;;x,,
emperor_invited;The Emperor takes up residence in a vacant palace at your capital.;;;;;;;;;;;;;x,,
#Call Exam,,
