#Health
EVTDESC_MAIMED;Your horrific maiming is slowly starting to heal. Although you no longer feel pain in the area, the region remains useless for anything else.;;;;;;;;;;;;;x;,,,,
EVTOPTA_MAIMED;I am a cripple!;Je suis un infirme !;;;;;;;;;;;;x
EVTDESC_BLIND;Your age is finally starting to get to you and your eyes are no longer what they used to be, as the days go by your vision fades more and more until you can see nothing.;;;;;;;;;;;;;x;,,,,
EVTOPTA_BLIND;My Eyes!;Mes yeux !;;;;;;;;;;;;x
# RTK - Campaign
EVTTITLE_RTK.130000;Rise of the Yellow Turbans;;;;;;;;;;;;;x
EVTDESC_RTK.130000;All across the empire, peasants and disenfranchised officials have risen up against the Han Empire. They come adorned with yellow turbans around their heads, arms, and necks. The empire has been thrown into crisis.\n\n As long as the Yellow Turbans exist, more and more people will use their cause as an excuse to rebel as well. If not extinguished quickly, this could very well spell the end of the empire.;;;;;;;;;;;;;x
EVTTITLE_RTK.130001;Rise of the Liang Rebellion;;;;;;;;;;;;;x
EVTDESC_RTK.130001;Local Liang provincial leaders have taken advantage of the Qiang and Di raids to start a major rebellion. This rebellion threatens to sweep all of Liang away from the Empire's clutches...;;;;;;;;;;;;;x
EVTTITLE_RTK.130002;Confrontation with the Yellow Gates;;;;;;;;;;;;;x
EVTDESC_RTK.130002;The power held by the corrupt Ten Eunuchs has grown too much for the loyalists at court. With the death of Emperor Ling of the Han Dynasty, the eunuchs have set up a new emperor as their puppet. With the armies of the loyalists preparing to fight the Ten Eunuchs and the Yellow Gates, an elite army established by the Emperor as a counter to the growing power of He Jin. The coming battle inside the Yellow Gates will surely affect all under Heaven.;;;;;;;;;;;;;x,,,
EVTTITLE_RTK.130003;Test;;;;;;;;;;;;;x
EVTDESC_RTK.130003;Test;;;;;;;;;;;;;x
EVTTITLE_RTK.130004;Liang Rebellion Ends;;;;;;;;;;;;;x
EVTDESC_RTK.130004;The Liang Rebellion which once caused the Imperial Court to consider abandoning the entire province has finally been put down.;;;;;;;;;;;;;x
EVTTITLE_RTK.130005;Executing the Eunuchs;;;;;;;;;;;;;x
EVTDESC_RTK.130005;The Eunuchs have openly revolted against He Jin. The time has come for us to aid our ally and stamp out the eunuch plague once and for all.;;;;;;;;;;;;;x
EVTTITLE_RTK.130006;Coming of Dong Zhuo;;;;;;;;;;;;;x
EVTDESC_RTK.130006;With the eunuchs growing more and more arrogant, the bureaucrats at court have called for the frontier armies of Dong Zhuo and Ding Yuan to come rescue the Emperor.;;;;;;;;;;;;;x
EVTTITLE_RTK.130007;Test;;;;;;;;;;;;;x
EVTDESC_RTK.130007;Test;;;;;;;;;;;;;x
EVTTITLE_RTK.130008;Devil in Luoyang;;;;;;;;;;;;;x
EVTDESC_RTK.130008;Dong Zhuo's abrupt arrival at the capital sent the eunuchs into flight. Their forces were scattered while He Jin's army was absorbed into Dong Zhuo's forces. He now controls the Emperor, the court, and the largest military in the world.;;;;;;;;;;;;;x,,,
EVTTITLE_RTK.130009;Balance of Power;;;;;;;;;;;;;x
EVTDESC_RTK.130009;The scales of power have been weighed in our favor. As such, the other lords of the realm eye our domain with jealousy and greed. They plot and convene against us. At any moment, they could sally against us. We must prepare for their eventual assault.;;;;;;;;;;;;;x,,,
EVTTITLE_RTK.130010;Coalition Called;;;;;;;;;;;;;x
EVTDESC_RTK.130010;An honorable lord of the realm calls for you to join them in breaking the monopoly held by one overly powerful indvidual.;;;;;;;;;;;;;x
EVTTITLE_RTK.130011;Coalition War Begins;;;;;;;;;;;;;x
EVTDESC_RTK.130011;The time for war has come. May our enemies suffer harsh defeat at our hands.;;;;;;;;;;;;;x
EVTTITLE_RTK.130012;Coalition War Begins;;;;;;;;;;;;;x
EVTDESC_RTK.130012;The time for war has come. The coalition's armies have already assembled against the enemy. The time for us to join battle has come.;;;;;;;;;;;;;x
EVTTITLE_RTK.130013;Coalition Fails;;;;;;;;;;;;;x
EVTDESC_RTK.130013;The Heavens have cursed us. The coalition has fallen apart from internal strife while our enemy remains safely in power.;;;;;;;;;;;;;x
EVTTITLE_RTK.130014;Coalition Fails;;;;;;;;;;;;;x
