title_premier;Premier;;;;;;;;;;;;;x,,,,,,
title_premier_desc;This person holds the reigns of power within the empire.;;;;;;;;;;;;;x,,,,,,
title_bodyguard;Bodyguard;;;;;;;;;;;;;x,,,,,,
title_bodyguard_desc;This person is trusted with the daily protection of his or her lord.;;;;;;;;;;;;;x,,,,,,
title_court_jester;Court Jester;Bouffon;Hofnarr;;Bufón de la corte;;;;;;;;;x,,,,,,
title_keeper_of_swans;Keeper of the Swans;Gardien des cygnes;Schwanenhüter ;;Cuidador de cisnes;;;;;;;;;x,,,,,,
title_keeper_of_swans_desc;With Swan meat being without doubt the finest meat available from either beast or fowl, the need to ensure a steady supply of Swans is important. The post of Master of Swans carries a certain amount of prestige.;Le cygne étant indéniablement la viande la plus fine qui soit, il est important d’en avoir suffisamment à disposition. Le titre de gardien des cygnes est auréolé d’un certain prestige.;Da Schwanenfleisch zweifelsohne zum besten Wild- oder Geflügelfleisch gehört, ist die Organisation eines stetigen Nachschubs an Schwänen eine wichtige Aufgabe. Das Amt des Schwanenhüters ist mit gewissem Prestige verbunden.;;Ya que, sin duda, la carne de cisne es más exquisita que la de otros animales y aves, era importante garantizar que hubiera cisnes siempre disponibles. El cargo de maestro de cisnes trae consigo bastante prestigio.;;;;;;;;;x
title_master_of_the_horse;Master of the Horse;Maître des Écuries;Stallmeister;;Maestro de cuadras;;;;;;;;;x,,,,,,
title_master_of_the_hunt;Master of the Hunt;Veneur;Jägermeister;;Maestro de caza;;;;;;;;;x,,,,,,
title_master_of_the_hounds;Master of the Hounds;Maître-chien;Jagdhundmeister;;Maestro de sabuesos;;;;;;;;;x,,,,,,
title_grand_butler;Grand Butler;Grand majordome;Großmundschenk;;Mayordomo mayor;;;;;;;;;x,,,,,,
title_grand_butler_desc;Although most of the household duties were passed over to servants, a person was still necessary to direct them.;;;;;;;;;;;;;x,,,,,
title_high_almoner;High Almoner;Grand aumônier;Großalmosenier;;Limosnero mayor;;;;;;;;;x,,,,,,
title_cupbearer;Cupbearer;Échanson;Mundschenk;;Copero;;;;;;;;;x,,,,,,
title_cupbearer_desc;Poison is always a danger, so being entrusted with serving drinks is a great honor.;L’empoisonnement constitue un danger et se voir confier le privilège de servir à boire est un grand honneur.;Da Giftanschläge stets ein Gefahr darstellten, war es eine große Ehre, am Hof Getränke reichen zu dürfen.;;El envenenamiento era siempre un riesgo, por lo que ganarse la confianza de servir bebidas es un gran honor.;;;;;;;;;x,,
title_despot;Despot;Despote;Despot;;Déspota;;;;;;;;;x,,,,,,
title_despot_desc;Despot is the highest honorary title in the Empire.;;;;;;;;;;;;;x,,,,,,
title_imperial_eunuch;Imperial Eunuch;;;;;;;;;;;;;x,,,,,,
title_imperial_eunuch_desc;The Imperial Eunuch takes care of the Emperor, Empress, and royal family.;;;;;;;;;;;;;x,,,,
title_court_eunuch;Court Eunuch;Eunuque de la cour;Hof-Eunuch;;Eunuco de la corte;;;;;;;;;x,,,,,,
title_court_eunuch_desc;Eunuchs perform many valued court functions and can be trusted in the presence of women.;Les Eunuques remplissent de précieuses fonctions et la gent féminine peut leur faire confiance.;Eunuchen nahmen eine Vielzahl hochangesehener Funktionen am Hofe wahr und man vertraute ihnen in der Gegenwart von Frauen.;;Los eunucos realizan muchas functiones valoradas de la corte y son de confiansa en presencia de mujeres.;;;;;;;;;x,,,,,,
title_general_of_the_left;General of the Left;;;;;;;;;;;;;x,,,,,,
title_general_of_the_left_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_general_of_the_right;General of the Right;;;;;;;;;;;;;x,,,,,,
title_general_of_the_right_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_general_of_the_van;General of the Van;;;;;;;;;;;;;x,,,,,,
title_general_of_the_van_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_general_of_the_rear;General of the Rear;;;;;;;;;;;;;x,,,,,,
title_general_of_the_rear_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_general_of_chariots_and_cavalry;General of Chariots and Cavalry;;;;;;;;;;;;;x,,,,,,
title_general_of_chariots_and_cavalry_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_general_of_the_flying_cavalry;General of the Flying Cavalry;;;;;;;;;;;;;x,,,,,,
title_general_of_the_flying_cavalry_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_general_who_conquers;General who Conquers;;;;;;;;;;;;;x,,,,,,
title_general_who_conquers_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_general_who_guards;General who Guards;;;;;;;;;;;;;x,,,,,,
title_general_who_guards_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_general_who_supports_the_empire;General who Supports the Empire;;;;;;;;;;;;;x,,,,,,
title_general_who_supports_the_empire_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_general_who_manifests_might;General who Manifests Might;;;;;;;;;;;;;x,,,,,,
title_general_who_manifests_might_desc;This general holds great esteem within the empire.;;;;;;;;;;;;;x,,,,,,
title_minister_of_the_imperial_clan;Minister of the Imperial Clan;;;;;;;;;;;;;x,,,,,,
