#Pets
pet_boar;Boar;;;;;;;;;x,,,,,,,,
pet_boar_desc;A friendly tusky pet boar.;;;;;;;;;x,,,,,,
pet_dog;Dog;;;;;;;;;x,,,,,,,,
pet_dog_desc;A friendly slobbery pet dog.;;;;;;;;;x,,,,,,
pet_eagle;Eagle;;;;;;;;;x,,,,,,,,
pet_eagle_desc;A fierce alert pet eagle.;;;;;;;;;x,,,,,,
pet_elephant;Elephant;;;;;;;;;x,,,,,,,,
pet_elephant_desc;A ferocious dangerous pet elephant.;;;;;;;;;x,,,,,,
pet_tiger;Tiger;;;;;;;;;x,,,,,,,,
pet_tiger_desc;A friendly kitty. With orange and black stripes and deadly long claws and fangs.;;;;;;;;;x,,,,,,
pet_wolf;Wolf;;;;;;;;;x,,,,,,,,
pet_wolf_desc;A fluffy white wolf with a wicked grin and a mean bite.;;;;;;;;;x,,,,,,
EVTDESC_artifact.2;You have acquired your opponent's equipment from the field.;;;;;;;;;x,,,,,,,,
