#Empire
e_china;Han Dynasty;;;;;;;;;;;;;x
e_china_adj;Han Imperial;;;;;;;;;;;;;x
e_korea;Korean Dynasty;Korea;Korea;;Korea;;;;;;;;;x
e_korea_adj;Korean Imperial;;;;;;;;;;;;;x
e_northern;Northern Empire;Northern;Northern;;Northern;;;;;;;;;x
e_northern_adj;Northern Imperial;;;;;;;;;;;;;x
#
#
e_chu;Chu Dynasty;;;;;;;;;;;;;x
e_chu_adj;Chu Imperial;;;;;;;;;;;;;x
e_chen;Chen Dynasty;;;;;;;;;;;;;x
e_chen_adj;Chen Imperial;;;;;;;;;;;;;x
e_dai;Dai Dynasty;;;;;;;;;;;;;x
e_dai_adj;Dai Imperial;;;;;;;;;;;;;x
e_han;Han Dynasty;;;;;;;;;;;;;x
e_han_adj;Han Imperial;;;;;;;;;;;;;x
e_jin;Jin Dynasty;;;;;;;;;;;;;x
e_jin_adj;Jin Imperial;;;;;;;;;;;;;x
e_liang;Liang Dynasty;;;;;;;;;;;;;x
e_liang_adj;Liang Imperial;;;;;;;;;;;;;x
e_liao;Liao Dynasty;;;;;;;;;;;;;x
e_liao_adj;Liao Imperial;;;;;;;;;;;;;x
e_min;Min Dynasty;;;;;;;;;;;;;x
e_min_adj;Min Imperial;;;;;;;;;;;;;x
e_qi;Qi Dynasty;;;;;;;;;;;;;x
e_qi_adj;Qi Imperial;;;;;;;;;;;;;x
e_qin;Qin Dynasty;;;;;;;;;;;;;x
e_qin_adj;Qin Imperial;;;;;;;;;;;;;x
e_qing;Qing Dynasty;;;;;;;;;;;;;x
e_qing_adj;Qing Imperial;;;;;;;;;;;;;x
e_shu;Shu Dynasty;;;;;;;;;;;;;x
e_shu_adj;Shu Imperial;;;;;;;;;;;;;x
e_song;Song Dynasty;;;;;;;;;;;;;x
e_song_adj;Song Imperial;;;;;;;;;;;;;x
e_sui;Sui Dynasty;;;;;;;;;;;;;x
e_sui_adj;Sui Imperial;;;;;;;;;;;;;x
