#Duel
duel_poor_warrior;Poor Fighter;Mauvais combattant;;;Luchador malo;;;;;;;;;x,,
duel_trained_warrior;Trained Fighter;Combattant entraîné;;;Luchador competente;;;;;;;;;x,,
duel_skilled_warrior;Skilled Fighter;Combattant talentueux;;;Luchador habilidoso;;;;;;;;;x,,
duel_master_warrior;Formidable Fighter;Combattant formidable;;;Luchador legendario;;;;;;;;;x,,
duel_poor_warrior_desc;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;Ce personnage comprend les bases du combat, mais il est négligent, présomptueux et inexpérimenté.;;;Este personaje entiende las bases de un combate pero es descuidado, muestra exceso de confianza y es inexperto.;;;;;;;;;x
duel_trained_warrior_desc;This character has received training in the art of combat. While no master, they can hold their own in a fight.;Ce personnage a suivit un entrainement aux arts de la guerre. S'il n'est pas un maître, il peut se débrouiller dans un combat.;;;Este personaje ha recibido entrenamiento en el arte del combate. No es un maestro, pero puede mantenerse en una pelea.;;;;;;;;;x
duel_skilled_warrior_desc;This character possesses a certain talent for battle and swordplay.;Ce personnage possède un certain talent pour les batailles et les duels à l'épée.;;;Este personaje posee un cierto talento para la batalla y en el manejo de la espada.;;;;;;;;;x,,
duel_master_warrior_desc;This character is one of the greatest warriors in the known world, favored by heaven and dreaded on the battlefield.;;;;;;;;;;;;;x,
#
tea_master;Tea Master;Maître du thé;Teemeister;;Maestro del té;;;;;;;;;x
tea_master_desc;This character has mastered the ceremonial art of tea brewing.;Ce personnage a maîtrisé l'art du brassage de cérémonie du thé.;Dieser Charakter hat die zeremonielle Kunst der Tee brauen gemeistert.;;A este personaje ha dominado el arte de preparar el té ceremonial.;;;;;;;;;x
painter;Painter;Peintre;Maler;;Pintor;;;;;;;;;x
painter_desc;This character has a creative soul that seeks to capture the essence of creation on parchment and canvas.;Ce personnage a une âme créatrice qui cherche à capturer l'essence de la création sur parchemin et toile.;Dieser Charakter hat eine kreative Seele, das Wesen der Schöpfung auf Pergament und Leinwand zu bannen sucht.;;A este personaje tiene un alma creativa que intenta captar la esencia de la creación en pergamino y lona.;;;;;;;;;x
musician;Musician;Musicien;Musiker;;Músico;;;;;;;;;x
musician_desc;This character is known as an expert among minstrels.;Ce personnage est connu comme un spécialiste parmi les ménestrels.;Dieser Charakter wird als Spezialist unter Spielleute bekannt.;;A este personaje es conocido como un especialista entre juglares.;;;;;;;;;x
calligraphist;Calligraphist;Calligraphiste;Kalligraph;;Caligrafista;;;;;;;;;x
calligraphist_desc;This character has spent long hours practising the art of writing.;Ce personnage a passé de longues heures à pratiquer l'art de l'écriture.;Dieser Charakter hat lange Stunden damit verbracht, praktizieren die Kunst des Schreibens.;;A este personaje ha pasado largas horas practicando el arte de la escritura.;;;;;;;;;x
go_player;Go Player;Joueur de go;Go-Spieler;;Jugador de Go;;;;;;;;;x
go_player_japanese;Igo Player;Joueur de Igo;Igo-Spieler;;Jugador de Igo;;;;;;;;;x
go_player_chinese;Yì Player;Joueur de Yì;Yì-Spieler;;Jugador de Yì;;;;;;;;;x
go_player_korean_group;Baduk Player;Joueur de Baduk;Baduk-Spieler;;Jugador de Baduk;;;;;;;;;x
go_player_desc;This character has become an expert strategist through mastering the game Go.;Ce personnage est devenu un stratège à travers la maîtrise du jeu de go.;Dieser Charakter hat sich zu einem Experten-Stratege über die Beherrschung der Go-Spiel.;;A este personaje se ha convertido en un estratega experto a través de dominar el juego de Go.;;;;;;;;;x
ruthless;Ruthless;Impitoyable;Skrupellos;;Implacable;;;;;;;;;x
ruthless_desc;This character is not bound by honour.;Ce personnage n'est pas lié par l'honneur.;Dieses Charakter wird nicht durch Ehre gebunden.;;A este personaje no está obligado por honor.;;;;;;;;;x
chivalrous;Chivalrous;Chevaleresque;Ritterlich;;Caballeroso;;;;;;;;;x
chivalrous_desc;This character is the embodiment of chivalry.;Ce personnage est l'incarnation de la chevalerie.;Dieses Charakter ist die Verkörperung des Rittertums.;;A este personaje es la encarnación de la caballería.;;;;;;;;;x
tall;Tall;Tall;Tall;;Tall;;;;;;;;;x
tall_desc;This character is of considerable stature, taller than most.; This character is of considerable stature, taller than most.; This character is of considerable stature, taller than most.;; This character is of considerable stature, taller than most.;;;;;;;;;x
deaf;Deaf;Deaf;Deaf;;Deaf;;;;;;;;;x
deaf_desc;This character is hard of hearing, or, worse, cannot hear at all. Such a disability limits their ability to function.;x;x;;x;;;;;;;;;x,
fertile;Fertile;Fertile;Fertile;;Fertile;;;;;;;;;x
fertile_desc;This character is unusually fertile, and seems to be made for producing healthy heirs.;;;;;;;;;;;;;x
fashionable;Fashionable;Chic;;;;;;;;;;;;;x
fashionable_desc;This character is vain about their appearance, and spends much time on their appearance.;;;;;;;;;;;;;;x
rude;Rude;Grossier;;;;;;;;;;;;;x
rude_desc;This character is known to say mean things about people, and is known for their unruly behavior.;;;;;;;;;;;;;;x
stubborn;Stubborn;Obstiné;;;;;;;;;;;;;x
stubborn_desc;This person is as stubborn and unmovable as a mule.;;;;;;;;;;;;;;x
honorable;Honorable;Honorable;;;;;;;;;;;;;x
honorable_desc;This character has a reputation of being true to his word.;;;;;;;;;;;;;;x
passionate;Passionate;Egoiste;;;;;;;;;;;;;x
passionate_desc;This person has found something truly worth dedicating their life towards.;;;;;;;;;;;;;;x
selfish;Selfish;Egoiste;;;;;;;;;;;;;x
selfish_desc;This person only has concern for their own needs and desires.;;;;;;;;;;;;;;x
martial_artist;Martial Artist;;;;;;;;;;;;;;x
martial_artist_desc;This person has for a long time studied the fighting arts and has now mastered many forms of fighting.;;;;;;;;;;;;;;x
inner_court;Inner Court;;;;;;;;;;;;;;x
inner_court_desc;This person dwells within the sanctuaries of the Inner Palace, far away from the realities of the outer world.;;;;;;;;;;;;;;x
sympathy_confucian;Sympathy for Confucians;;;;;;;;;;;;;;x
sympathy_confucian_desc;This character has sympathies towards Confucians and their like.;;;;;;;;;;;;;;x
sympathy_tao;Sympathy for Taoists;;;;;;;;;;;;;;x
sympathy_tao_desc;This character has sympathies towards Taoists and their like.;;;;;;;;;;;;;;x
excommunicated;Censored;;;;;;;;;;;;;;x
excommunicated_desc;This character has been censored - excluded from the bureaucracy - a terrible stain on honor and respectability.;;;;;;;;;;;;;;x
dishonorable;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Dishonorable;;;;;;;;;x
dishonorable_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;;;;;;;;;x
