EVTDESC71000;A group of Masterless Warriors have come to visit [Root.PrimaryTitle.GetName]. [Root.job_chancellor.GetTitledFirstName] has met with them, and ask for my reply.;;;;;;;;;;;;;x
EVTOPTA71000;Welcome them with a lavish feast!;;;;;;;;;;;;;x
EVTOPTB71000;Welcome them reluctantly...;;;;;;;;;;;;;x
EVTOPTC71000;Refuse them Access!;;;;;;;;;;;;;x
#EVTDESC71001;The Masterless Warriors have participated in a minor tournament together with in our warriors in [Root.Location.GetName]. Sadly, one of those landless vagabonds have been severly injured.;;;;;;;;;;;;;x
EVTOPTA71001;Pay for some medication, and send them on their way;;;;;;;;;;;;;x
EVTOPTB71001;Allow them to stay at the mansion while he recovers.;;;;;;;;;;;;;x
EVTDESC71002;A young Masterless Warrior has distinguished himself quite nicely in the time he has been at our mansion.;;;;;;;;;;;;;x
EVTOPTA71002;Take him into our service!;;;;;;;;;;;;;x
EVTOPTB71002;Lavish him with praise!;;;;;;;;;;;;;x
EVTDESC71003;A member of our court has taken great offense at the behavior of the rough uncut Masterless Warriors visiting our mansion. He almost demands that we should execute the vagrants.;;;;;;;;;;;;;x die auf Besuch in unserer Burg sind. Er geht fast so weit
EVTOPTA71003;Throw the Masterless Warriors out of the mansion!;;;;;;;;;;;;;x
EVTOPTB71003;Ignore the complaints...;;;;;;;;;;;;;x
EVTDESC71004;A young woman has been seduced by one of the Masterless Warriors. This seems to have some unforeseen consequences.;;;;;;;;;;;;;x ce qui n’est pas sans conséquences.;Einer der fahrenden Ritter hat eine junge Frau verführt. Dies scheint einige unvorhersehbare Konsequenzen zu haben.;;Una joven ha sido seducida por un caballero errante. Esto parece tener consecuencias imprevistas.;;;;;;;;;x
EVTOPTA71004;Let them both stay at court.;;;;;;;;;;;;;x
EVTOPTB71004;The dungeon is a nice place for that 'warrior'.;;;;;;;;;;;;;x
EVTDESC71005;The Masterless Warriors are ready to depart our mansion and ride forth to another lord's domain.;;;;;;;;;;;;;x unsere Burg zu verlassen und in die Domäne eines anderen Fürsten zu reiten.;;Los caballeros errantes están listos para salir de nuestro castillo y cabalgar al dominio de otro señor.;;;;;;;;;x
EVTOPTA71005;Give them a farewell feast!;;;;;;;;;;;;;x
EVTOPTB71005;Let them leave quietly.;;;;;;;;;;;;;x
EVTDESC71006;[Root.job_marshal.GetTitledFirstName] has arrested an armed man with ragged armor and a spotty horse. [Root.job_marshal.GetSheHeCap] says that the man claims to be a Masterless Warrior, but clearly does not believe that statement.;;;;;;;;;;;;;x
EVTOPTA71006;Order the Masterless Warrior released.;;;;;;;;;;;;;x
EVTOPTB71006;That is clearly a bandit..;;;;;;;;;;;;;x
EVTDESC73000;A famous writer proposes to compose your family chronicles.;;;;;;;;;;;;;x
EVTOPTA73000;Give him patronage;;;;;;;;;;;;;x
EVTOPTB73000;Ignore him;;;;;;;;;;;;;x
#EVTDESC73001;Your young wife takes a passion for romantic poetry. She keeps reading any sort of romantic poetry she can get hold of.;Votre jeune épouse se passionne pour la poésie romantique. Elle passe son temps à lire tous les recueils qu’elle trouve.;Eure junge Frau hat ein Faible für romantische Gedichte. Sie liest davon so viel sie nur kann.;;A tu joven esposa le apasiona la poesía romántica. Lee cualquier poesía romántica que cae en sus manos.;;;;;;;;;x,
#EVTOPTA73001;Help her, by getting her more to read.;Vous l’encouragez sur cette voie en lui fournissant davantage de lecture.;Sie soll noch mehr Gedichte bekommen.;;Ayúdala y llévale más poesías.;;;;;;;;;x
EVTOPTB73001;That is her interests, not mine.;;;;;;;;;;;;;x
EVTDESC73002;His Imperial Majesty wants to raise a grand palace as a demonstration of the Empire's majesty.;;;;;;;;;;;;;x
EVTOPTA73002;It is for the glory of my Emperor!;;;;;;;;;;;;;x
EVTOPTB73002;If the Emperor wants it, the Emperor can pay for it..;;;;;;;;;;;;;x
#Censorship
