vice_royalty_baron;Chief;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_baron_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_count;Prefect;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_count_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_duke;Administrator;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_duke_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_king;Inspector;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_king_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_emperor;Duke;;;;;;;;;;;;;x;;,,,,,,,
vice_royalty_emperor_female;Lady;;;;;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_TITLE;Grant Viceroyalty;Concéder une vice-royauté;Verleiht die Vizekönigswürde;;Conceder Virreinato;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_DESC;Grant a Viceroyalty to the character;Concéder une vice-royauté à ce personnage;Verleiht einem Charakter die Vizekönigswürde;;Conceder la condición de virrey al personaje;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_LONG_DESC;Grant one of your landed titles as a Viceroyalty to another character. This will significantly improve their opinion of you. When the character dies, the title will revert back to you.;Concédez l'un de vos titres fonciers en tant que vice-royauté à un autre personnage. Cela améliorera fortement son opinion à votre égard. Lorsque le personnage meurt, le titre vous revient.;Verleiht einem anderen Charakter einen Eurer Titel mit Landbesitz als Vizekönigswürde. Dies wird ihre Meinung über Euch wesentlich verbessern. Wenn der Charakter stirbt, fällt der Titel an Euch zurück.;;Conceder uno de tus títulos de tierras como virrey a otro personaje. Esto mejorará significativamente su opinión sobre ti. Cuando muera el personaje, el título volverá a ti.;;;;;;;;;x;;,,,
GRANT_VICE_ROYALTY_INTERACTION_0;Select a title to grant as a Viceroyalty to §Y[Recipient.GetTitledFirstName]§W.;Sélectionnez un titre à concéder en tant que vice-royauté à §Y[Recipient.GetTitledFirstName]§W.;Wählt einen Titel, den Ihr §Y[Recipient.GetTitledFirstName]§W als Vizekönigswürde verleiht.;;Seleccionar un título para concederlo como virreinato a §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x;;,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_1;Grant the §Y[ThirdPartyTitle.GetFullName]§W as a Viceroyalty to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W. When §Y[Recipient.GetTitledFirstName]§W dies, the title will revert back to you.;Concédez §Y[ThirdPartyTitle.GetFullName]§W en tant que vice-royauté à §Y[Recipient.GetTitledFirstName]§W, ce qui aura pour effet d'accroître son opinion à votre égard de §G$OPINION$§W. Quand §Y[Recipient.GetTitledFirstName]§W mourra, le titre vous reviendra.;Verleiht §Y[ThirdPartyTitle.GetFullName]§W als Vizekönigswürde an §Y[Recipient.GetTitledFirstName]§W und erhöht dadurch [Recipient.GetPossPronoun] Meinung über Euch um §G$OPINION$§W. Wenn §Y[Recipient.GetTitledFirstName]§W stirbt, fällt der Titel an Euch zurück.;;Conceder §Y[ThirdPartyTitle.GetFullName]§W como virreinato a  §Y[Recipient.GetTitledFirstName]§W, incrementando así [Recipient.GetPossPronoun] opinión sobre ti en §G$OPINION$§W. Cuando §Y[Recipient.GetTitledFirstName]§W muera, el título volverá a ti.;;;;;;;;;x;;
GRANT_VICE_ROYALTY_INTERACTION_2;The capital will change from §Y$CURRENT$§W to §Y$NEW$§W.;La capitale sera transférée de §Y$CURRENT$§W à §Y$NEW$§W.;Die Hauptstadt wird von §Y$CURRENT$§W nach §Y$NEW$§W verlegt.;;La capital pasará de ser §Y$CURRENT$§W a §Y$NEW$§W.;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_3;Vassals going with the grant: ;Vassaux inclus avec le titre : ;Vasallen, die zur Bewilligung gehören:;;Vasallos incluidos en la concesión:;;;;;;;;;x;;,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_4;[Player.Religion.GetPietyName] from temple grant: §G$PIETY$§!.;[Player.Religion.GetPietyName] de concession de temple : §G$PIETY$§!.;[Player.Religion.GetPietyName] von Tempelbewilligung: §G$PIETY$§!.;;[Player.Religion.GetPietyName] de concesión de templo: §G$PIETY$§!.;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_5;§RMaking [Recipient.GetObjectPronoun] a $TITLE$ will disqualify [Recipient.GetObjectPronoun] from the succession!§!;§R[Recipient.GetObjectPronoun] accorder un titre de $TITLE$ l’évincera de la succession !§!;§RDie Erhebung von [Recipient.GetObjectPronoun] zum $TITLE$ schließt [Recipient.GetObjectPronoun] von der Erbfolge aus!§!;;§R¡Concediendo a [Recipient.GetObjectPronoun] un título de $TITLE$, lo dejarás fuera de la sucesión!§!;;;;;;;;;x;;,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_ACCEPT_SETUP;Viceroyalty Granted;Vice-royauté concédée;Vizekönigswürde verliehen;;Virreinato Concedido;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W granted the [ThirdPartyTitle.GetFullName] to §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W a accordé le titre de [ThirdPartyTitle.GetFullName] à §Y[Recipient.GetBestName]§W.;§Y[Actor.GetBestName]§W verlieh [ThirdPartyTitle.GetFullName] an §Y[Recipient.GetBestName]§W;;§Y[Actor.GetBestName]§W ha concedido el título de [ThirdPartyTitle.GetFullName] a §Y[Recipient.GetBestName]§W.;;;;;;;;;x;;,,,,,,,
GRANT_VICE_ROYALTY_INTERACTION_LETTER;We offer you the Viceroyalty of [ThirdPartyTitle.GetFullName];Nous vous offrons la vice-royauté de [ThirdPartyTitle.GetFullName].;Wir bieten Euch die Vizekönigswürde von [ThirdPartyTitle.GetFullName] an;;Te ofrecemos el virreinato de [ThirdPartyTitle.GetFullName];;;;;;;;;x;;,,,,,,,
