#
#KEYS
EMPEROR;Divine Emperor;;;;;;;;;;;;;x
EMPRESS;Empress;;;;;;;;;;;;;x
EMPEROR_FOA;Your Imperial Majesty;;;;;;;;;;;;;x
DOWAGER;Empress Dowager;;;;;;;;;;;;;x
MAGIC;Wizard;;;;;;;;;;;;;x
GREAT_CHIEF;Great Chief;;;;;;;;;;;;;x
COLONEL;Colonel;;;;;;;;;;;;;x
MAJOR;Major;;;;;;;;;;;;;x
LORD;Lord;;;;;;;;;;;;;x
LADY;Lady;;;;;;;;;;;;;x
LORD_HEAVEN;Lord of Heaven;;;;;;;;;;;;;x
EUNUCH;Head Eunuch;;;;;;;;;;;;;x
CELESTIAL_MASTER;Celestial Master;;;;;;;;;;;;;x
MARK;Marquis;;;;;;;;;;;;;x
DUKE;Duke;;;;;;;;;;;;;x
KING;King;;;;;;;;;;;;;x
KING_FOA;Your Highness;;;;;;;;;;;;;x
INTENDANT;Intendant;;;;;;;;;;;;;x
PREMIER;Chancellor;;;;;;;;;;;;;x
PREMIER_FOA;Your Lordship;;;;;;;;;;;;;x
#Plural
empires;Empires;Empires;Reiche;;Imperios;;;;;;;;;x
kingdoms;Provinces;;;;;;;;;;;;;x
duchies;Commanderies;;;;;;;;;;;;;x
counties;Counties;Comtés;Grafschaften;;Condados;;;;;;;;;x
baronies;Districts;;;;;;;;;;;;;x
#Special
job_viceroy name;Protector;;;;;;;;;;;;;x
title_regent;Regent;Régent;Regent;;Regente;;;;;;;;;x
king_xiongnu;Shanyu;;;;;;;;;;;;;x
king_tao;Master;;;;;;;;;;;;;x
kingdom_of_tao;Kingdom of;;;;;;;;;;;;;x
#Emperor
emperor_title_queen_mother_female;Empress Dowager;Impératrice douairière;Kaiserinwitwe;;Emperatriz viuda;;;;;;;;;x
empire_bactrian;Empire;;;;;;;;;;;;;x
empire_of_bactrian;Empire of;;;;;;;;;;;;;x
emperor_bactrian;Emperor;;;;;;;;;;;;;x
emperor_female_bactrian;Empress;;;;;;;;;;;;;x
emperor_foa_bactrian;My King of Kings;;;;;;;;;;;;;x
emperor_foa_female_bactrian;My Queen of Queens;;;;;;;;;;;;;x
empire_chinese;Empire;;;;;;;;;;;;;x
empire_of_chinese;Empire of;;;;;;;;;;;;;x
emperor_chinese;Emperor;;;;;;;;;;;;;x
emperor_prince;Lord;;;;;;;;;;;;;x
emperor_prince_female;Lady;;;;;;;;;;;;;x
emperor_female_chinese;Empress;;;;;;;;;;;;;x
emperor_foa_chinese;Your Imperial Majesty;;;;;;;;;;;;;x
emperor_foa_female_chinese;Your Imperial Highness;;;;;;;;;;;;;x
empire_korean;Empire;;;;;;;;;;;;;x
empire_of_korean;Empire of;;;;;;;;;;;;;x
emperor_korean;Emperor;;;;;;;;;;;;;x
emperor_female_korean;Empress;;;;;;;;;;;;;x
emperor_foa_korean;Your Highness;;;;;;;;;;;;;x
emperor_foa_female_korean;Your Highness;;;;;;;;;;;;;x
empire_man;Empire;;;;;;;;;;;;;x
empire_of_man;Empire;;;;;;;;;;;;;x
emperor_man;Emperor;;;;;;;;;;;;;x
emperor_female_man;Empress;;;;;;;;;;;;;x
emperor_foa_man;Your Highness;;;;;;;;;;;;;x
emperor_foa_female_man;Your Highness;;;;;;;;;;;;;x
